band 1,band 2,band 3,band 4,band 5,band 6,class_name
"22","23","20","67","53","31",Grass Land
"23","24","21","69","53","31",Grass Land
"24","24","24","65","54","33",Grass Land
"23","24","23","61","54","33",Grass Land
"22","23","21","61","52","32",Grass Land
"23","24","23","62","52","32",Grass Land
"23","24","22","68","53","31",Grass Land
"23","26","23","71","53","31",Grass Land
"22","24","20","71","52","29",Grass Land
"22","24","20","72","52","29",Grass Land
"23","24","21","68","49","30",Grass Land
"22","21","19","63","49","30",Grass Land
"22","23","20","67","49","27",Grass Land
"22","23","21","69","49","27",Grass Land
"23","24","21","65","55","32",Grass Land
"23","23","21","64","53","31",Grass Land
"23","23","22","61","53","31",Grass Land
"24","24","23","60","54","33",Grass Land
"23","23","21","63","54","33",Grass Land
"22","23","20","66","52","32",Grass Land
"22","23","20","70","52","32",Grass Land
"22","24","20","72","53","31",Grass Land
"23","26","22","71","53","31",Grass Land
"22","24","21","71","52","29",Grass Land
"22","24","21","70","52","29",Grass Land
"22","24","20","66","49","30",Grass Land
"22","22","19","61","49","30",Grass Land
"23","24","22","65","49","27",Grass Land
"22","23","23","67","49","27",Grass Land
"22","22","17","73","46","25",Grass Land
"22","22","19","69","46","25",Grass Land
"24","25","24","67","51","28",Grass Land
"23","24","21","63","55","33",Grass Land
"22","23","19","63","55","33",Grass Land
"22","23","21","62","53","32",Grass Land
"22","23","21","64","53","32",Grass Land
"22","23","20","66","51","31",Grass Land
"22","23","20","73","51","31",Grass Land
"23","24","21","70","53","32",Grass Land
"23","25","23","67","53","32",Grass Land
"23","24","22","68","54","32",Grass Land
"22","24","21","67","54","32",Grass Land
"22","23","20","70","52","30",Grass Land
"23","24","21","71","52","30",Grass Land
"24","25","24","68","51","28",Grass Land
"22","24","21","71","51","28",Grass Land
"21","23","18","74","50","30",Grass Land
"22","23","21","67","50","30",Grass Land
"23","24","24","65","55","34",Grass Land
"23","24","25","66","55","34",Grass Land
"23","24","23","69","52","32",Grass Land
"22","24","20","71","52","32",Grass Land
"23","24","22","65","55","33",Grass Land
"22","23","20","67","55","33",Grass Land
"23","23","21","61","53","32",Grass Land
"23","24","22","61","53","32",Grass Land
"23","23","22","63","51","31",Grass Land
"23","24","21","71","51","31",Grass Land
"24","25","23","67","53","32",Grass Land
"24","26","25","69","53","32",Grass Land
"23","24","21","70","54","32",Grass Land
"23","24","21","68","54","32",Grass Land
"23","24","20","71","52","30",Grass Land
"22","23","19","76","52","30",Grass Land
"22","24","21","74","51","28",Grass Land
"22","23","18","76","51","28",Grass Land
"22","22","18","74","50","30",Grass Land
"22","22","21","65","50","30",Grass Land
"23","23","23","63","55","34",Grass Land
"23","24","23","62","55","34",Grass Land
"22","23","22","64","52","32",Grass Land
"22","23","21","66","52","32",Grass Land
"22","22","22","57","51","32",Grass Land
"22","21","21","58","51","32",Grass Land
"22","22","19","73","48","29",Grass Land
"23","23","22","60","56","34",Grass Land
"24","24","24","59","56","35",Grass Land
"24","24","24","61","56","35",Grass Land
"24","25","23","63","55","34",Grass Land
"24","25","23","69","55","34",Grass Land
"23","25","23","72","54","32",Grass Land
"23","26","22","72","54","32",Grass Land
"22","23","19","69","53","31",Grass Land
"22","23","21","68","53","31",Grass Land
"22","23","19","69","50","27",Grass Land
"22","23","18","77","50","27",Grass Land
"21","23","18","79","47","24",Grass Land
"21","23","17","80","47","24",Grass Land
"21","22","17","75","49","28",Grass Land
"22","23","22","65","49","28",Grass Land
"22","24","23","64","53","32",Grass Land
"22","23","21","64","53","32",Grass Land
"22","22","22","62","49","30",Grass Land
"23","23","21","71","49","30",Grass Land
"23","23","22","70","50","32",Grass Land
"22","23","20","68","50","32",Grass Land
"22","22","21","69","51","30",Grass Land
"22","22","21","71","51","30",Grass Land
"21","22","17","77","45","25",Grass Land
"23","23","22","57","56","34",Grass Land
"23","23","23","58","56","35",Grass Land
"24","24","24","61","56","35",Grass Land
"24","25","24","64","55","34",Grass Land
"23","24","22","68","55","34",Grass Land
"23","25","22","70","54","32",Grass Land
"23","25","22","68","54","32",Grass Land
"22","22","20","66","53","31",Grass Land
"22","23","20","66","53","31",Grass Land
"22","23","19","68","50","27",Grass Land
"21","22","18","73","50","27",Grass Land
"21","23","17","79","47","24",Grass Land
"21","24","17","78","47","24",Grass Land
"21","22","18","75","49","28",Grass Land
"23","24","21","69","49","28",Grass Land
"22","23","20","67","53","32",Grass Land
"22","23","21","65","53","32",Grass Land
"23","23","22","74","49","30",Grass Land
"24","25","21","85","49","30",Grass Land
"23","24","21","80","50","32",Grass Land
"22","23","21","66","50","32",Grass Land
"21","22","21","67","51","30",Grass Land
"21","22","18","73","51","30",Grass Land
"21","23","17","77","45","25",Grass Land
"23","24","24","59","58","36",Grass Land
"24","24","25","58","58","36",Grass Land
"24","25","23","64","57","35",Grass Land
"23","25","23","67","57","35",Grass Land
"23","25","24","66","54","33",Grass Land
"23","25","23","65","54","33",Grass Land
"22","23","20","64","51","29",Grass Land
"22","23","19","67","51","29",Grass Land
"21","22","17","68","47","24",Grass Land
"20","22","16","75","47","24",Grass Land
"21","23","17","81","46","23",Grass Land
"22","24","18","76","46","23",Grass Land
"21","22","18","73","50","28",Grass Land
"22","24","19","71","50","28",Grass Land
"22","23","20","68","54","33",Grass Land
"23","24","22","66","54","33",Grass Land
"24","24","21","78","50","31",Grass Land
"25","25","21","84","50","31",Grass Land
"23","23","21","75","52","32",Grass Land
"22","23","20","74","52","32",Grass Land
"22","23","20","79","53","31",Grass Land
"22","23","18","75","53","31",Grass Land
"22","22","18","78","48","26",Grass Land
"21","23","17","86","48","26",Grass Land
"24","24","25","61","58","36",Grass Land
"24","25","25","67","57","35",Grass Land
"24","26","24","69","57","35",Grass Land
"23","25","22","70","54","33",Grass Land
"22","24","21","67","54","33",Grass Land
"22","23","20","64","51","29",Grass Land
"22","23","19","66","51","29",Grass Land
"21","21","17","68","47","24",Grass Land
"20","22","15","78","47","24",Grass Land
"21","23","17","85","46","23",Grass Land
"21","23","17","78","46","23",Grass Land
"22","23","19","74","50","28",Grass Land
"23","25","21","71","50","28",Grass Land
"23","25","24","65","54","33",Grass Land
"24","25","25","61","54","33",Grass Land
"24","24","23","70","50","31",Grass Land
"24","24","22","79","50","31",Grass Land
"23","23","20","75","52","32",Grass Land
"23","23","21","73","52","32",Grass Land
"23","24","23","73","53","31",Grass Land
"23","24","21","75","53","31",Grass Land
"22","23","20","78","48","26",Grass Land
"21","23","17","82","48","26",Grass Land
"22","22","18","75","45","24",Grass Land
"23","25","23","69","52","33",Grass Land
"23","24","22","66","52","33",Grass Land
"22","24","21","67","52","31",Grass Land
"23","24","22","69","52","31",Grass Land
"22","24","21","66","51","29",Grass Land
"22","24","20","67","51","29",Grass Land
"21","22","18","69","47","25",Grass Land
"21","22","15","81","47","25",Grass Land
"21","23","16","86","47","25",Grass Land
"21","23","16","80","47","25",Grass Land
"22","23","21","72","56","33",Grass Land
"24","25","25","65","56","33",Grass Land
"24","25","26","62","57","37",Grass Land
"23","24","25","58","57","37",Grass Land
"23","23","24","60","53","34",Grass Land
"23","23","21","71","53","34",Grass Land
"23","24","22","72","55","35",Grass Land
"23","24","22","70","55","35",Grass Land
"23","24","23","69","55","34",Grass Land
"23","24","23","69","55","34",Grass Land
"22","23","20","73","49","28",Grass Land
"22","23","18","76","49","28",Grass Land
"22","23","19","74","47","26",Grass Land
"22","21","21","55","52","33",Grass Land
"22","23","22","56","52","31",Grass Land
"23","24","23","68","52","31",Grass Land
"22","24","21","67","51","29",Grass Land
"22","24","20","71","51","29",Grass Land
"22","24","19","73","47","25",Grass Land
"21","23","18","74","47","25",Grass Land
"21","23","17","81","47","25",Grass Land
"21","24","17","78","47","25",Grass Land
"23","25","24","68","56","33",Grass Land
"24","25","26","58","56","33",Grass Land
"23","25","25","61","57","37",Grass Land
"23","24","24","63","57","37",Grass Land
"23","23","22","60","53","34",Grass Land
"22","23","21","62","53","34",Grass Land
"23","23","23","67","55","35",Grass Land
"22","23","21","76","55","35",Grass Land
"22","23","22","67","55","34",Grass Land
"22","22","22","64","55","34",Grass Land
"22","23","19","73","49","28",Grass Land
"22","22","17","73","49","28",Grass Land
"22","22","18","74","47","26",Grass Land
"23","24","22","64","49","30",Grass Land
"22","24","20","67","50","29",Grass Land
"22","24","20","70","50","29",Grass Land
"22","24","21","68","51","29",Grass Land
"23","24","22","65","51","29",Grass Land
"22","24","20","75","53","31",Grass Land
"22","25","20","74","53","31",Grass Land
"23","24","24","64","59","37",Grass Land
"24","25","25","60","59","37",Grass Land
"24","26","25","63","58","37",Grass Land
"23","26","24","70","58","37",Grass Land
"23","24","21","71","55","34",Grass Land
"23","24","22","66","55","34",Grass Land
"23","24","22","72","56","35",Grass Land
"22","24","19","78","56","35",Grass Land
"22","23","22","66","54","33",Grass Land
"22","23","21","64","54","33",Grass Land
"22","23","20","71","48","28",Grass Land
"22","22","18","71","48","28",Grass Land
"21","22","18","72","48","27",Grass Land
"22","24","22","69","50","29",Grass Land
"22","24","21","68","51","29",Grass Land
"24","25","23","70","51","29",Grass Land
"24","26","25","71","53","31",Grass Land
"23","25","22","69","53","31",Grass Land
"23","24","23","67","59","37",Grass Land
"24","26","27","64","59","37",Grass Land
"24","26","26","64","58","37",Grass Land
"24","26","24","70","58","37",Grass Land
"24","24","22","68","55","34",Grass Land
"23","24","23","65","55","34",Grass Land
"23","24","21","76","56","35",Grass Land
"22","24","20","78","56","35",Grass Land
"23","23","23","65","54","33",Grass Land
"23","23","22","67","54","33",Grass Land
"22","22","19","75","48","28",Grass Land
"21","21","18","71","48","28",Grass Land
"21","21","17","71","48","27",Grass Land
"23","26","22","81","55","32",Grass Land
"24","26","26","68","57","35",Grass Land
"23","24","23","66","57","35",Grass Land
"23","24","25","68","58","38",Grass Land
"24","26","28","64","58","38",Grass Land
"24","25","25","65","60","42",Grass Land
"25","26","25","67","60","42",Grass Land
"25","25","27","60","60","41",Grass Land
"24","24","26","59","60","41",Grass Land
"23","24","22","69","57","39",Grass Land
"23","24","22","69","57","39",Grass Land
"23","24","23","66","52","32",Grass Land
"23","23","20","72","52","32",Grass Land
"21","22","18","77","47","26",Grass Land
"21","21","17","71","47","26",Grass Land
"23","24","22","66","57","35",Grass Land
"23","24","23","67","58","38",Grass Land
"25","25","28","60","58","38",Grass Land
"24","25","26","61","60","42",Grass Land
"25","25","28","57","60","42",Grass Land
"25","25","30","51","60","41",Grass Land
"25","25","28","55","60","41",Grass Land
"24","25","26","59","57","39",Grass Land
"23","24","26","60","57","39",Grass Land
"22","23","21","70","52","32",Grass Land
"22","22","19","71","52","32",Grass Land
"21","22","18","75","47","26",Grass Land
"21","21","16","79","47","26",Grass Land
"25","25","29","52","59","41",Grass Land
"25","25","30","49","63","45",Grass Land
"26","26","29","55","63","45",Grass Land
"25","25","30","51","59","43",Grass Land
"24","25","29","56","59","43",Grass Land
"22","23","21","71","50","30",Grass Land
"21","22","17","79","50","30",Grass Land
"21","22","18","69","46","26",Grass Land
"21","21","17","71","46","26",Grass Land
"19","16","13","59","31","15",Trees
"19","16","11","57","32","15",Trees
"19","16","13","60","32","15",Trees
"19","17","13","62","32","17",Trees
"18","16","12","52","28","14",Trees
"19","16","12","55","28","14",Trees
"18","16","12","52","30","15",Trees
"20","17","13","62","30","15",Trees
"20","18","13","69","34","16",Trees
"19","16","13","64","34","16",Trees
"19","15","11","52","29","15",Trees
"19","15","12","55","28","14",Trees
"18","15","12","52","28","14",Trees
"18","16","13","54","30","15",Trees
"19","17","14","63","30","15",Trees
"19","17","13","65","34","16",Trees
"19","16","12","55","34","16",Trees
"19","16","12","57","28","14",Trees
"18","16","12","58","28","14",Trees
"18","16","12","57","29","13",Trees
"19","16","11","50","29","13",Trees
"19","16","13","55","29","16",Trees
"19","17","13","61","29","16",Trees
"19","17","13","62","33","15",Trees
"19","16","13","54","33","15",Trees
"18","15","12","55","26","13",Trees
"19","17","12","63","28","14",Trees
"19","17","13","62","28","14",Trees
"19","17","14","56","29","13",Trees
"19","16","12","51","29","13",Trees
"19","16","13","54","29","16",Trees
"20","17","14","63","29","16",Trees
"19","17","13","54","33","15",Trees
"20","18","14","55","33","15",Trees
"18","16","11","59","26","12",Trees
"20","18","12","66","29","14",Trees
"19","16","13","58","29","14",Trees
"19","15","13","47","27","12",Trees
"19","16","12","47","27","12",Trees
"19","16","14","57","27","15",Trees
"20","18","14","63","27","15",Trees
"19","16","13","48","38","19",Trees
"21","18","14","62","38","19",Trees
"19","16","12","68","26","12",Trees
"19","17","12","62","29","14",Trees
"18","16","12","52","29","14",Trees
"19","16","12","51","27","12",Trees
"19","17","13","56","27","12",Trees
"20","17","14","60","27","15",Trees
"20","17","13","58","27","15",Trees
"20","17","13","55","38","19",Trees
"19","17","13","78","34","15",Trees
"19","16","12","57","28","13",Trees
"18","15","12","50","28","13",Trees
"19","16","12","58","29","13",Trees
"19","17","13","64","29","13",Trees
"19","17","13","64","33","16",Trees
"19","16","13","60","33","16",Trees
"18","15","11","52","28","13",Trees
"18","15","11","47","28","13",Trees
"19","16","12","65","29","13",Trees
"20","18","13","75","29","13",Trees
"20","18","15","65","33","16",Trees
"18","15","11","50","30","14",Trees
"18","16","12","55","30","14",Trees
"19","17","12","67","37","18",Trees
"18","15","11","57","30","14",Trees
"18","16","12","63","30","14",Trees
"20","20","13","79","39","18",Trees
"18","16","11","63","33","17",Trees
"20","19","13","80","39","18",Trees
"19","16","11","58","33","17",Trees
"19","19","12","74","39","18",Trees
"19","17","14","59","42","23",Trees
"21","19","17","58","42","23",Trees
"21","21","20","57","42","25",Trees
"21","20","19","56","42","25",Trees
"19","18","14","57","36","19",Trees
"19","16","15","55","36","19",Trees
"20","19","18","55","34","19",Trees
"19","18","16","52","34","19",Trees
"19","16","12","53","30","14",Trees
"19","16","13","61","30","14",Trees
"18","14","11","47","30","15",Trees
"20","18","16","50","36","19",Trees
"19","16","15","49","36","19",Trees
"20","17","15","52","34","19",Trees
"19","16","12","49","34","19",Trees
"18","15","11","53","30","14",Trees
"19","16","12","60","30","14",Trees
"18","15","12","58","30","15",Trees
"20","18","14","66","30","15",Trees
"19","17","14","57","38","20",Trees
"19","17","14","58","34","16",Trees
"19","16","13","57","34","16",Trees
"19","16","12","61","30","14",Trees
"19","17","12","62","30","14",Trees
"19","17","12","63","32","15",Trees
"19","17","14","65","32","15",Trees
"19","17","14","58","33","16",Trees
"19","17","14","57","33","16",Trees
"19","18","14","66","34","16",Trees
"19","17","13","65","34","16",Trees
"18","15","12","57","30","14",Trees
"19","16","12","57","30","14",Trees
"19","17","13","62","32","15",Trees
"20","18","17","60","32","15",Trees
"20","17","14","54","33","16",Trees
"19","16","12","53","33","16",Trees
